"Seed_Point_ID","FID","EA_ID","Group","Ph","SSC","Ca","Mg","NH4","NO3","NO2","TON","PO4","Zn","area","count","average_elevation","average_rainfall","average_slope","average_aspect","Arable","Heath","Grassland","Urban","Wetland","Permeable","Impermeable","Gleyed","Peats","Sands_and_Muds","Limestone","Coal","Arable_percent","Heath_percent","Grassland_percent","Urban_percent","Wetland_percent","Permeable_percent","Impermeable_percent","Gleyed_percent","Peats_percent","Sands_and_Muds_percent","Limestone_percent","Coal_percent"
1,54,1940214,"Training",7.79,21.37,60.82,11.12,0.24,2.64,0.08,2.73,0.34,50,3.96144668033594,1587,21.513438939898,539.877756773787,0.483714238945313,93.8918223439258,379,0,340,785,0,0,0,1030,557,1414,0,0,23.8815374921235,0,21.4240705734089,49.4643982356648,0,0,0,64.9023314429742,35.0976685570258,89.0989287964713,0,0
2,42,1941025,"Testing",7.79,33.52,75.45,17.52,4.46,3.24,0.11,3.35,0.99,20.51,10.2618193464778,4111,39.9554234703972,581.183167112625,1.23182455490757,206.144894342534,1832,0,984,861,0,271,0,3463,377,4111,0,0,44.5633665774751,0,23.9357820481635,20.943809292143,0,6.59207005594746,0,84.2374118219411,9.17051812211141,100,0,0
3,40,1941017,"Training",8.55,11.69,58.54,20.5,0.25,0.83,0.02,0.84,0.07,35.23,3.66190439826876,1467,66.7500564481583,591.354464894342,1.92889611263862,196.525569526046,42,0,491,524,0,292,0,1175,0,1467,0,0,2.86298568507157,0,33.4696659850034,35.7191547375596,0,19.9045671438309,0,80.0954328561691,0,100,0,0
4,47,1941007,"Training",7.71,34.06,96.83,46.33,0.24,3.65,0.07,3.73,0.21,74.26,1.21314624237114,486,44.8204192722776,549.012345679012,0.514826816069767,139.091655606596,177,0,49,249,0,0,0,486,0,486,0,0,36.4197530864198,0,10.082304526749,51.2345679012346,0,0,0,100,0,100,0,0
5,45,1941002,"Training",8.08,70.81,141.98,85.85,0.4,4.47,0.05,4.52,0.14,20.16,0.741367148115642,297,43.7275518809103,557.175084175084,1.62962813474715,120.980290711528,185,0,55,57,0,0,0,297,0,297,0,0,62.2895622895623,0,18.5185185185185,19.1919191919192,0,0,0,100,0,100,0,0
6,44,1941003,"Training",8.12,34,174.49,86.27,0.21,2.69,0.06,2.75,0.15,18.27,1.40285635434692,562,49.8980487538402,562.903914590747,1.06731563508245,118.310106403887,154,0,61,246,0,0,0,562,0,562,0,0,27.4021352313167,0,10.8540925266904,43.7722419928826,0,0,0,100,0,100,0,0
7,41,1940998,"Testing",7.89,28.11,89.34,26.38,1.74,4.82,0.15,4.97,0.42,22.21,4.67036341456134,1871,30.9072703800375,536.010154997328,0.615234151085364,108.687462567264,631,0,571,417,0,0,0,1842,29,1871,0,0,33.7252805986104,0,30.5184393372528,22.2875467664351,0,0,0,98.4500267236772,1.54997327632282,100,0,0
8,32,1940995,"Testing",7.85,19.18,84.7,31.2,0.33,2.26,0.07,2.33,0.11,30.45,31.8613140691947,12764,49.7435984410525,594.201034158571,1.16518639184507,157.183020480084,3491,49,2924,4954,0,3739,0,8988,37,11347,0,1417,27.3503603885929,0.38389219680351,22.9081792541523,38.8122845502977,0,29.2933249764964,0,70.4167972422438,0.289877781259793,88.8984644312128,0,11.1015355687872
9,38,1940967,"Training",7.66,21.17,61.55,9.6,0.12,1.72,0.03,1.75,0.08,13.01,19.0533853251424,7633,23.3600405187418,556.190881697891,0.487807435550762,189.920432741363,2641,28,2235,2049,0,618,0,3208,3807,7633,0,0,34.599764181842,0.366828245774925,29.2807546181056,26.8439669854579,0,8.0964234246037,0,42.0280361587842,49.8755404166121,100,0,0
10,51,1940958,"Training",7.9,14.55,90.38,17.58,0.3,5.6,0.09,5.69,0.31,14.5,13.2647307241994,5314,56.6089633246046,584.99435453519,0.961284723022381,189.925690722617,1285,0,1921,1110,0,499,0,4717,98,5314,0,0,24.1814076025593,0,36.1497929996236,20.8882197967633,0,9.39028980052691,0,88.7655250282273,1.84418517124577,100,0,0
11,36,1940888,"Testing",7.61,30.65,56.71,13.5,0.57,2.26,0.07,2.3,0.6,18.64,6.04576172638506,2422,27.0523847809121,606.503303055326,0.525859100980341,103.631776601782,967,0,727,627,0,0,0,1934,488,2422,0,0,39.925681255161,0,30.0165152766309,25.88769611891,0,0,0,79.851362510322,20.148637489678,100,0,0
12,34,1940887,"Training",7.68,58.2,83.75,17.76,0.29,3.03,0.07,3.1,0.34,12.54,5.06476075261578,2029,26.4197070134456,615.339083292262,0.63964533937216,108.721289076369,751,3,905,210,0,0,0,1850,179,2029,0,0,37.0133070478068,0.147856086742238,44.6032528339083,10.3499260719566,0,0,0,91.1779201577132,8.82207984228684,100,0,0
13,24,1940885,"Training",7.42,17.36,53.09,15.87,0.21,1.9,0.03,1.94,0.15,21.55,5.0597683812482,2027,110.984179765412,858.848544647262,2.08308221347957,198.019351091183,232,0,1092,594,0,0,0,2027,0,234,0,1793,11.4454859398125,0,53.8727183029107,29.3043907252097,0,0,0,100,0,11.5441539220523,0,88.4558460779477
14,26,1940884,"Training",7.27,50.55,136.69,71.25,1.25,1.43,0.04,1.46,0.14,35,9.95229232167475,3987,90.2497538300364,820.136192626035,1.81674833172306,190.492494655277,582,0,2157,1084,0,0,0,3987,0,1592,0,2395,14.5974416854778,0,54.1008276899925,27.1883621770755,0,0,0,100,0,39.9297717582142,0,60.0702282417858
15,30,1940883,"Testing",7,20.06,92.74,32.99,0.72,2.46,0.04,2.5,0.09,33.93,9.02371124726826,3615,34.8827355802966,675.026002766252,0.7355720552211,200.889934465197,334,81,868,1372,321,0,697,1225,1693,3609,0,6,9.23928077455049,2.24066390041494,24.0110650069156,37.9529737206086,8.87966804979253,0,19.2807745504841,33.8865836791148,46.8326417704011,99.8340248962656,0,0.16597510373444
16,28,1940880,"Training",7.6,21.57,54.22,10.99,0.89,1.63,0.07,1.71,0.24,17.54,5.77367748684081,2313,41.8736957932673,707.298746217034,1.14119712996843,193.038419858078,434,56,553,1062,0,0,604,1259,450,2169,0,144,18.7635105923044,2.4210981409425,23.9083441418072,45.9143968871595,0,0,26.1132728058798,54.4314742758323,19.4552529182879,93.7743190661479,0,6.22568093385214
17,48,1940628,"Training",7.77,10.07,59.76,12.21,0.52,9.46,0.17,9.64,1.14,49.4,10.9283009240781,4378,59.3219312447399,635.833257195066,0.798762486597065,156.875856943479,99,19,1124,2593,0,0,0,3218,1160,4378,0,0,2.26130653266332,0.433988122430333,25.6738236637734,59.2279579716766,0,0,0,73.5038830516217,26.4961169483783,100,0,0
18,43,1940541,"Training",7.62,16.83,34.72,10.88,0.1,1.21,0.03,1.23,0.06,6.02,9.49549034152304,3804,269.460175487145,1003.78049421661,7.00425065471179,193.385276099061,103,160,3288,50,0,1783,0,2021,0,1651,0,2153,2.70767613038906,4.20609884332282,86.4353312302839,1.31440588853838,0,46.8717139852787,0,53.1282860147213,0,43.4016824395373,0,56.5983175604627
19,46,1940544,"Training",7.4,5.8,8.74,4.15,0.04,0.9,0.01,0.9,0.03,6.91,16.24767261645,6509,432.531801616125,1130.13903825472,12.2234906290771,225.234931436407,6,1041,3988,16,711,3365,0,0,3144,6509,0,0,0.0921800583807036,15.9932401290521,61.269012137041,0.24581348901521,10.9233369181134,51.6976494085113,0,0,48.3023505914887,100,0,0
20,53,1940537,"Training",8.12,20.31,36.79,6.94,0.19,3.14,0.05,3.19,0.42,13.97,37.5076860861543,15026,318.930536903555,965.275588979103,8.00074257224133,199.432015151843,58,1230,10843,1107,283,10188,327,3196,1315,9544,5482,0,0.385997604152802,8.18581126048183,72.1615865832557,7.36723013443365,1.88340210302143,67.8024757087715,2.17622787168907,21.2697990150406,8.75149740449887,63.5165712764542,36.4834287235458,0
21,62,1940516,"Testing",7.73,20.01,28.99,7.07,0.08,1.93,0.02,1.95,0.07,6.07,17.1238337914951,6860,305.184096019956,1057.79096209913,7.67780908003513,191.627694474758,116,1316,4266,364,41,3103,853,532,2372,6675,0,24,1.69096209912536,19.1836734693878,62.1865889212828,5.30612244897959,0.597667638483965,45.2332361516035,12.4344023323615,7.75510204081633,34.5772594752187,97.3032069970845,0,0.349854227405248
