"Seed_Point_ID","FID","area","count","EA_ID","Ph","SSC","Ca","Mg","NH4","NO3","NO2","TON","PO4","Zn","average_elevation","average_rainfall","average_slope","average_aspect","Arable","Heath","Grassland","Urban","Wetland","Permeable","Impermeable","Gleyed","Peats","Sands_and_Muds","Limestone","Coal","Arable_percent","Heath_percent","Grassland_percent","Urban_percent","Wetland_percent","Permeable_percent","Impermeable_percent","Gleyed_percent","Peats_percent","Sands_and_Muds_percent","Limestone_percent","Coal_percent"
1,54,3.96144668033594,1587,1940214,7.79,21.37,60.82,11.12,0.24,2.64,0.08,2.73,0.34,50,215.134389413989,539.877756773787,4.81932444134996,93.8918400284885,379,0,340,785,0,0,0,1030,557,1414,0,0,23.8815374921235,0,21.4240705734089,49.4643982356648,0,0,0,64.9023314429742,35.0976685570258,89.0989287964713,0,0
2,42,10.2618193464778,4111,1941025,7.79,33.52,75.45,17.52,4.46,3.24,0.11,3.35,0.99,20.51,399.554234492824,581.183167112625,11.6391102065261,206.232635440254,1832,0,984,861,0,271,0,3463,377,4111,0,0,44.5633665774751,0,23.9357820481635,20.943809292143,0,6.59207005594746,0,84.2374118219411,9.17051812211141,100,0,0
3,40,3.66190439826876,1467,1941017,8.55,11.69,58.54,20.5,0.25,0.83,0.02,0.84,0.07,35.23,667.500564417178,591.354464894342,17.847257842133,196.526750857754,42,0,491,524,0,292,0,1175,0,1467,0,0,2.86298568507157,0,33.4696659850034,35.7191547375596,0,19.9045671438309,0,80.0954328561691,0,100,0,0
4,47,1.21314624237114,486,1941007,7.71,34.06,96.83,46.33,0.24,3.65,0.07,3.73,0.21,74.26,448.204193415638,549.012345679012,5.04709234712573,139.091000520929,177,0,49,249,0,0,0,486,0,486,0,0,36.4197530864198,0,10.082304526749,51.2345679012346,0,0,0,100,0,100,0,0
5,45,0.741367148115642,297,1941002,8.08,70.81,141.98,85.85,0.4,4.47,0.05,4.52,0.14,20.16,437.275518518519,557.175084175084,15.5461162748896,120.980286688099,185,0,55,57,0,0,0,297,0,297,0,0,62.2895622895623,0,18.5185185185185,19.1919191919192,0,0,0,100,0,100,0,0
6,44,1.40285635434692,562,1941003,8.12,34,174.49,86.27,0.21,2.69,0.06,2.75,0.15,18.27,498.980487544484,562.903914590747,10.3827289462243,118.309996772898,154,0,61,246,0,0,0,562,0,562,0,0,27.4021352313167,0,10.8540925266904,43.7722419928826,0,0,0,100,0,100,0,0
7,41,4.67036341456134,1871,1940998,7.89,28.11,89.34,26.38,1.74,4.82,0.15,4.97,0.42,22.21,309.072703901657,536.010154997328,6.09558267598114,108.687317117818,631,0,571,417,0,0,0,1842,29,1871,0,0,33.7252805986104,0,30.5184393372528,22.2875467664351,0,0,0,98.4500267236772,1.54997327632282,100,0,0
8,32,31.8613140691947,12764,1940995,7.85,19.18,84.7,31.2,0.33,2.26,0.07,2.33,0.11,30.45,497.435984644312,594.201034158571,11.091929440877,157.137956648672,3491,49,2924,4954,0,3739,0,8988,37,11347,0,1417,27.3503603885929,0.38389219680351,22.9081792541523,38.8122845502977,0,29.2933249764964,0,70.4167972422438,0.289877781259793,88.8984644312128,0,11.1015355687872
9,38,19.0533853251424,7633,1940967,7.66,21.17,61.55,9.6,0.12,1.72,0.03,1.75,0.08,13.01,233.600405214201,556.190881697891,4.83713277096238,189.876543185826,2641,28,2235,2049,0,618,0,3208,3807,7633,0,0,34.599764181842,0.366828245774925,29.2807546181056,26.8439669854579,0,8.0964234246037,0,42.0280361587842,49.8755404166121,100,0,0
10,51,13.2647307241994,5314,1940958,7.9,14.55,90.38,17.58,0.3,5.6,0.09,5.69,0.31,14.5,566.089633044787,584.99435453519,9.24517777606855,190.467923123288,1285,0,1921,1110,0,499,0,4717,98,5314,0,0,24.1814076025593,0,36.1497929996236,20.8882197967633,0,9.39028980052691,0,88.7655250282273,1.84418517124577,100,0,0
11,36,6.04576172638506,2422,1940888,7.61,30.65,56.71,13.5,0.57,2.26,0.07,2.3,0.6,18.64,270.523848059455,606.503303055326,5.21180288612079,103.780494843489,967,0,727,627,0,0,0,1934,488,2422,0,0,39.925681255161,0,30.0165152766309,25.88769611891,0,0,0,79.851362510322,20.148637489678,100,0,0
12,34,5.06476075261578,2029,1940887,7.68,58.2,83.75,17.76,0.29,3.03,0.07,3.1,0.34,12.54,264.197070478068,615.339083292262,6.34023198755427,109.785406759218,751,3,905,210,0,0,0,1850,179,2029,0,0,37.0133070478068,0.147856086742238,44.6032528339083,10.3499260719566,0,0,0,91.1779201577132,8.82207984228684,100,0,0
13,24,5.0597683812482,2027,1940885,7.42,17.36,53.09,15.87,0.21,1.9,0.03,1.94,0.15,21.55,1109.8417972373,858.848544647262,19.1040439107432,198.019320561975,232,0,1092,594,0,0,0,2027,0,234,0,1793,11.4454859398125,0,53.8727183029107,29.3043907252097,0,0,0,100,0,11.5441539220523,0,88.4558460779477
14,26,9.95229232167475,3987,1940884,7.27,50.55,136.69,71.25,1.25,1.43,0.04,1.46,0.14,35,902.49753774768,820.136192626035,16.9788720564335,190.505464582005,582,0,2157,1084,0,0,0,3987,0,1592,0,2395,14.5974416854778,0,54.1008276899925,27.1883621770755,0,0,0,100,0,39.9297717582142,0,60.0702282417858
15,30,9.02371124726826,3615,1940883,7,20.06,92.74,32.99,0.72,2.46,0.04,2.5,0.09,33.93,348.827355739972,675.026002766252,7.14159203968634,201.089114472211,334,81,868,1372,321,0,697,1225,1693,3609,0,6,9.23928077455049,2.24066390041494,24.0110650069156,37.9529737206086,8.87966804979253,0,19.2807745504841,33.8865836791148,46.8326417704011,99.8340248962656,0,0.16597510373444
16,28,5.77367748684081,2313,1940880,7.6,21.57,54.22,10.99,0.89,1.63,0.07,1.71,0.24,17.54,418.736958063122,707.298746217034,10.8551667763682,193.038136814025,434,56,553,1062,0,0,604,1259,450,2169,0,144,18.7635105923044,2.4210981409425,23.9083441418072,45.9143968871595,0,0,26.1132728058798,54.4314742758323,19.4552529182879,93.7743190661479,0,6.22568093385214
