"Seed_Point_ID","Arable_percent","Heath_percent","Grassland_percent","Urban_percent","Wetland_percent","Permeable_percent","Impermeable_percent","Gleyed_percent","Peats_percent","Sands_and_Muds_percent","Limestone_percent","Coal_percent"
46,0.558485882717965,1.27210673285759,86.2240148929569,2.73037542662116,0,4.49891405522805,0,0,95.5010859447719,12.6590133416072,0,87.3409866583928
47,0.521706726290293,1.36016396497112,88.0752748276504,4.15502142724054,0.391280044717719,38.1218557853549,0,0.391280044717719,61.4868641699273,27.6504564933855,0,72.3495435066145
48,0.831168831168831,5.61038961038961,69.2467532467532,0,11.4805194805195,17.4545454545455,0,18.5454545454545,64,0.779220779220779,0,99.2207792207792
44,3.50740452065472,2.37724084177708,60.1714731098987,26.0717069368667,0,90.7248636009353,0,1.36399064692128,7.91114575214341,100,0,0
45,0,5.5796652200868,62.4922504649721,0.805951642901426,13.7011779293242,23.0006199628022,0,0,76.9993800371978,100,0,0
43,1.16448326055313,3.56622998544396,89.5196506550218,0.436681222707424,1.31004366812227,54.075691411936,0,34.570596797671,11.353711790393,100,0,0
36,0.803266617578151,4.06319030724948,57.1992770600442,5.96425463551777,6.63364348349957,13.7291652721066,0,15.2018207376665,68.3914585982997,38.5969609746302,0,61.4030390253698
42,0.145878920495988,0.145878920495988,80.9628008752735,1.16703136396791,8.09628008752735,49.890590809628,0,34.7921225382932,15.3172866520788,100,0,0
41,0.356125356125356,11.6452991452991,70.5840455840456,6.26780626780627,1.85185185185185,43.5541310541311,0,9.36609686609687,47.0797720797721,99.6794871794872,0,0.32051282051282
50,0.300429184549356,5.23605150214592,76.9957081545064,8.49785407725322,0,31.5021459227468,0,41.3733905579399,27.1244635193133,12.618025751073,0,87.381974248927
53,0.246103363412633,25.7588187038556,36.5053322395406,10.2543068088597,26.16899097621,31.8293683347006,0,0,68.1706316652994,96.636587366694,0,3.36341263330599
37,1.453125,3.90625,46.4140625,13.3125,14.171875,8.3203125,0,6.703125,84.9765625,39.140625,0,60.859375
40,0.341130604288499,5.99415204678363,57.6998050682261,11.8421052631579,4.28849902534113,21.1013645224172,0,51.1695906432749,27.729044834308,66.4717348927875,0,33.5282651072125
52,0.377358490566038,22.778730703259,47.7530017152659,2.43567753001715,16.6037735849057,43.1217838765009,0,0,56.8782161234992,100,0,0
49,0.847457627118644,1.35593220338983,83.9830508474576,3.05084745762712,0,4.49152542372881,0,0,95.5084745762712,0.254237288135593,0,99.7457627118644
51,0.735294117647059,5.14705882352941,83.6764705882353,3.60294117647059,0,94.7794117647059,0,5.22058823529412,0,100,0,0
39,9.23076923076923,1.59151193633952,68.1697612732095,12.4137931034483,0,84.8806366047745,0,0.371352785145889,14.7480106100796,1.75066312997347,0,98.2493368700265
38,3.33454810495627,0.801749271137026,50.7288629737609,20.4810495626822,13.7572886297376,4.77405247813411,0,72.6129737609329,22.6129737609329,3.88119533527697,0,96.118804664723
30,0.937988535695675,2.04533611255862,61.7118290776446,3.64773319437207,19.7107868681605,30.8754559666493,0,1.06826472120896,68.0562793121417,98.6972381448671,0,1.30276185513288
34,4.24076607387141,0,51.5731874145007,34.7469220246238,0,16.5070679434565,0,83.4929320565436,0,22.4806201550388,0,77.5193798449613
35,6.77392814699698,0.374805740926959,45.2235122040406,41.5851540360179,0.173690465307615,4.6896425633056,0,95.218941402322,0.0914160343724289,0,0,100
33,3.1207090250905,0.0332875629342987,23.5883992843174,53.6179419964216,0,31.7813007115217,0,68.2186992884783,0,32.205717138934,0,67.794282861066
31,2.6047220106626,0.406194465600406,26.0776846915461,47.6973851231277,0,17.7913175932978,0,73.9426250317339,8.26605737496827,37.6897689768977,0,62.3102310231023
13,11.4454859398125,0,53.8727183029107,29.3043907252097,0,0,0,100,0,11.5441539220523,0,88.4558460779477
29,0.0547195622435021,23.9580483356133,22.2982216142271,2.124943000456,34.4094847241222,16.1057911536708,0,1.83310533515732,82.0611035111719,100,0,0
14,14.5974416854778,0,54.1008276899925,27.1883621770755,0,0,0,100,0,39.9297717582142,0,60.0702282417858
23,0.267948906181178,28.8467185435325,26.7471736896197,0.675378064895023,32.1501982087799,26.6223755689326,0,2.68683012773455,70.6907943033329,100,0,0
16,18.7635105923044,2.4210981409425,23.9083441418072,45.9143968871595,0,0,26.1132728058798,54.4314742758323,19.4552529182879,93.7743190661479,0,6.22568093385214
32,0.692360950842372,0,8.95453496422802,73.1363951073159,0,0,0,100,0,83.1756288945303,0,16.8243711054697
15,9.23928077455049,2.24066390041494,24.0110650069156,37.9529737206086,8.87966804979253,0,19.2807745504841,33.8865836791148,46.8326417704011,99.8340248962656,0,0.16597510373444
28,0.11609907120743,50.2321981424149,12.0743034055728,10.6037151702786,11.9195046439628,19.8916408668731,0,0,80.1083591331269,100,0,0
8,27.3503603885929,0.38389219680351,22.9081792541523,38.8122845502977,0,29.2933249764964,0,70.4167972422438,0.289877781259793,88.8984644312128,0,11.1015355687872
27,1.1918492887351,38.6005382545175,22.2606689734717,6.38216070742022,16.2245290272972,82.5451749327182,0,0.230680507497116,17.2241445597847,97.1549404075356,0,2.84505959246444
12,37.0133070478068,0.147856086742238,44.6032528339083,10.3499260719566,0,0,0,91.1779201577132,8.82207984228684,100,0,0
26,2.34875444839858,0.284697508896797,38.932384341637,43.8908659549229,0,7.52075919335706,0,86.8090154211151,5.67022538552788,40.2846975088968,0,59.7153024911032
11,39.925681255161,0,30.0165152766309,25.88769611891,0,0,0,79.851362510322,20.148637489678,100,0,0
